dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
1,1,symmetric,0,2.2,0.001,1,500.0,True,810,1.62,4.897297297297865,0.40744258154619883,0.004573252108004
1,1,symmetric,0,2.4,0.001,1,500.0,True,1731,3.462,4.721921921922448,0.04284596204519034,0.004669076329594976
1,1,symmetric,0,2.6,0.001,1,500.0,True,2349,4.698,4.565765765766255,0.7532108584204478,0.016636291901031892
1,1,symmetric,0,0.6,0.005,1,500.0,True,5430,10.86,8.179579579580922,0.5656246609157984,0.007037482581458411
1,1,symmetric,0,0.8,0.005,1,500.0,True,4889,9.778,7.2672672672683944,0.39683444650323546,0.016019727613355544
1,1,symmetric,0,1.0,0.005,1,500.0,True,11012,22.024,6.634834834835813,0.5090177696388405,0.01617072891067337
1,1,symmetric,0,1.2,0.005,1,500.0,True,35905,71.81,6.159759759760625,0.2776492999957966,0.04753976159386926
1,1,symmetric,0,1.4,0.005,1,500.0,True,3836,7.672,5.7861861861869635,0.7785930659797217,0.06378340697264648
1,1,symmetric,0,1.6,0.005,1,500.0,True,45498,90.996,5.479879879880585,0.8410997247552728,0.06407755869883555
1,1,symmetric,0,1.8,0.005,1,500.0,True,11886,23.772,5.224624624625269,1.0126802532283874,0.06440081133379473
1,1,symmetric,0,2.0,0.005,1,500.0,True,12151,24.302,5.0066066066072,0.23947764922668027,0.06467820359421922
1,1,symmetric,0,2.2,0.005,1,500.0,True,45843,91.686,4.816816816817365,0.7877776916320618,0.06502645223348348
1,1,symmetric,0,2.4,0.005,1,500.0,True,80804,161.608,4.650450450450959,1.0907956907102414,0.11246577540675441
1,1,symmetric,0,2.6,0.005,1,500.0,True,73568,147.136,4.502102102102576,0.28893915430322903,0.1002493200598059
1,1,symmetric,1,0.6,0.001,1,100.0,True,12,0.12,8.621621621623069,0.8395000344834065,0.000291869536534444
1,1,symmetric,1,0.8,0.001,1,100.0,True,43,0.43,7.572972972974172,0.4275973124189061,0.0010716865012595604
1,1,symmetric,1,1.0,0.001,1,100.0,True,44,0.44,6.862462462463494,0.6994223439743473,0.0011190208228858741
1,1,symmetric,1,1.2,0.001,1,100.0,True,51,0.51,6.34174174174265,0.6354312442384804,0.001167769904609199
1,1,symmetric,1,1.4,0.001,1,100.0,True,146,1.46,5.932732732733545,0.820224012101854,0.004203216926948921
1,1,symmetric,1,1.6,0.001,1,100.0,True,183,1.83,5.6042042042049385,0.7036106808407533,0.004286768438818457
1,1,symmetric,1,1.8,0.001,1,100.0,True,185,1.85,5.330330330331,0.5184136201460666,0.004381044252260073
1,1,symmetric,1,2.0,0.001,1,100.0,True,180,1.8,5.09609609609671,0.3787587937620184,0.004476200233589302
1,1,symmetric,1,2.2,0.001,1,100.0,True,190,1.9,4.897297297297865,0.31148554541327206,0.004573252108004
1,1,symmetric,1,2.4,0.001,1,100.0,True,206,2.06,4.721921921922448,0.9205237326321312,0.004669076329594976
1,1,symmetric,1,2.6,0.001,1,100.0,True,511,5.11,4.565765765766255,0.9094025434793777,0.016636291901031892
1,1,symmetric,1,0.6,0.005,1,100.0,True,952,9.52,8.179579579580922,0.1838450403184862,0.007037482581458411
1,1,symmetric,1,0.8,0.005,1,100.0,True,935,9.35,7.2672672672683944,0.19010332134273558,0.016019727613355544
1,1,symmetric,1,1.0,0.005,1,100.0,True,1300,13.0,6.634834834835813,0.274139701186477,0.01617072891067337
1,1,symmetric,1,1.2,0.005,1,100.0,True,5666,56.66,6.159759759760625,0.9550057984925846,0.04753976159386926
1,1,symmetric,1,1.4,0.005,1,100.0,True,1407,14.07,5.7861861861869635,0.6879614719280137,0.06378340697264648
1,1,symmetric,1,1.6,0.005,1,100.0,True,6407,64.07,5.479879879880585,0.11774659562516618,0.06407755869883555
1,1,symmetric,1,1.8,0.005,1,100.0,True,2128,21.28,5.224624624625269,0.2742637838567938,0.06440081133379473
1,1,symmetric,1,2.0,0.005,1,100.0,True,2437,24.37,5.0066066066072,0.7156422904303843,0.06467820359421922
1,1,symmetric,1,2.2,0.005,1,100.0,True,6961,69.61,4.816816816817365,0.14604489438168639,0.06502645223348348
1,1,symmetric,1,2.4,0.005,1,100.0,True,14204,142.04,4.650450450450959,1.0906543827152348,0.11246577540675441
1,1,symmetric,1,2.6,0.005,1,100.0,True,13022,130.22,4.502102102102576,0.8580347085977579,0.1002493200598059
1,1,symmetric,1,0.6,0.001,1,200.0,True,25,0.125,8.621621621623069,0.36436417967349505,0.000291869536534444
1,1,symmetric,1,0.8,0.001,1,200.0,True,83,0.415,7.572972972974172,0.4290641432160054,0.0010716865012595604
1,1,symmetric,1,1.0,0.001,1,200.0,True,92,0.46,6.862462462463494,0.3931460562232021,0.0011190208228858741
1,1,symmetric,1,1.2,0.001,1,200.0,True,94,0.47,6.34174174174265,0.9994514965796222,0.001167769904609199
1,1,symmetric,1,1.4,0.001,1,200.0,True,255,1.275,5.932732732733545,0.5288634991741277,0.004203216926948921
1,1,symmetric,1,1.6,0.001,1,200.0,True,377,1.885,5.6042042042049385,0.010234700786220179,0.004286768438818457
1,1,symmetric,1,1.8,0.001,1,200.0,True,379,1.895,5.330330330331,0.344562693639799,0.004381044252260073
1,1,symmetric,1,2.0,0.001,1,200.0,True,372,1.86,5.09609609609671,0.5873626308278872,0.004476200233589302
1,1,symmetric,1,2.2,0.001,1,200.0,True,381,1.905,4.897297297297865,0.25466384448566004,0.004573252108004
1,1,symmetric,1,2.4,0.001,1,200.0,True,436,2.18,4.721921921922448,0.8987386730220821,0.004669076329594976
1,1,symmetric,1,2.6,0.001,1,200.0,True,906,4.53,4.565765765766255,0.9653448867606922,0.016636291901031892
1,1,symmetric,1,0.6,0.005,1,200.0,True,2072,10.36,8.179579579580922,0.09578238831864702,0.007037482581458411
1,1,symmetric,1,0.8,0.005,1,200.0,True,1923,9.615,7.2672672672683944,0.9127562077076468,0.016019727613355544
1,1,symmetric,1,1.0,0.005,1,200.0,True,3640,18.2,6.634834834835813,0.7573343502269969,0.01617072891067337
1,1,symmetric,1,1.2,0.005,1,200.0,True,13200,66.0,6.159759759760625,0.7433618157952875,0.04753976159386926
1,1,symmetric,1,1.4,0.005,1,200.0,True,1986,9.93,5.7861861861869635,0.8910462999487072,0.06378340697264648
1,1,symmetric,1,1.6,0.005,1,200.0,True,16116,80.58,5.479879879880585,0.4793901032990999,0.06407755869883555
1,1,symmetric,1,1.8,0.005,1,200.0,True,4490,22.45,5.224624624625269,0.5375092652466921,0.06440081133379473
1,1,symmetric,1,2.0,0.005,1,200.0,True,4754,23.77,5.0066066066072,0.649250103069378,0.06467820359421922
1,1,symmetric,1,2.2,0.005,1,200.0,True,16461,82.305,4.816816816817365,0.7204681679054543,0.06502645223348348
1,1,symmetric,1,2.4,0.005,1,200.0,True,30854,154.27,4.650450450450959,1.088617807871348,0.11246577540675441
1,1,symmetric,1,2.6,0.005,1,200.0,True,28159,140.795,4.502102102102576,0.19352257072746576,0.1002493200598059
1,1,symmetric,1,0.6,0.001,1,500.0,True,68,0.136,8.621621621623069,0.9180821136341215,0.000291869536534444
1,1,symmetric,1,0.8,0.001,1,500.0,True,169,0.338,7.572972972974172,0.49011605624500926,0.0010716865012595604
1,1,symmetric,1,1.0,0.001,1,500.0,True,391,0.782,6.862462462463494,0.42307549479368095,0.0011190208228858741
1,1,symmetric,1,1.2,0.001,1,500.0,True,273,0.546,6.34174174174265,0.3925133427088568,0.001167769904609199
1,1,symmetric,1,1.4,0.001,1,500.0,True,596,1.192,5.932732732733545,0.0720790242766952,0.004203216926948921
1,1,symmetric,1,1.6,0.001,1,500.0,True,1321,2.642,5.6042042042049385,0.8448493516480957,0.004286768438818457
1,1,symmetric,1,1.8,0.001,1,500.0,True,807,1.614,5.330330330331,0.8530371544716708,0.004381044252260073
1,1,symmetric,1,2.0,0.001,1,500.0,True,810,1.62,5.09609609609671,0.6664854115074705,0.004476200233589302
1,1,symmetric,1,2.2,0.001,1,500.0,True,810,1.62,4.897297297297865,0.40744258154619883,0.004573252108004
1,1,symmetric,1,2.4,0.001,1,500.0,True,1731,3.462,4.721921921922448,0.04284596204519034,0.004669076329594976
1,1,symmetric,1,2.6,0.001,1,500.0,True,2349,4.698,4.565765765766255,0.7532108584204478,0.016636291901031892
1,1,symmetric,1,0.6,0.005,1,500.0,True,5430,10.86,8.179579579580922,0.5656246609157984,0.007037482581458411
1,1,symmetric,1,0.8,0.005,1,500.0,True,4889,9.778,7.2672672672683944,0.39683444650323546,0.016019727613355544
1,1,symmetric,1,1.0,0.005,1,500.0,True,11012,22.024,6.634834834835813,0.5090177696388405,0.01617072891067337
1,1,symmetric,1,1.2,0.005,1,500.0,True,35905,71.81,6.159759759760625,0.2776492999957966,0.04753976159386926
1,1,symmetric,1,1.4,0.005,1,500.0,True,3836,7.672,5.7861861861869635,0.7785930659797217,0.06378340697264648
1,1,symmetric,1,1.6,0.005,1,500.0,True,45498,90.996,5.479879879880585,0.8410997247552728,0.06407755869883555
1,1,symmetric,1,1.8,0.005,1,500.0,True,11886,23.772,5.224624624625269,1.0126802532283874,0.06440081133379473
1,1,symmetric,1,2.0,0.005,1,500.0,True,12151,24.302,5.0066066066072,0.23947764922668027,0.06467820359421922
1,1,symmetric,1,2.2,0.005,1,500.0,True,45843,91.686,4.816816816817365,0.7877776916320618,0.06502645223348348
1,1,symmetric,1,2.4,0.005,1,500.0,True,80804,161.608,4.650450450450959,1.0907956907102414,0.11246577540675441
1,1,symmetric,1,2.6,0.005,1,500.0,True,73568,147.136,4.502102102102576,0.28893915430322903,0.1002493200598059
1,1,clustered,0,0.6,0.001,1,100.0,True,12,0.12,8.621621621623069,0.8395000344834065,0.000291869536534444
1,1,clustered,0,0.8,0.001,1,100.0,True,43,0.43,7.572972972974172,0.4275973124189061,0.0010716865012595604
1,1,clustered,0,1.0,0.001,1,100.0,True,44,0.44,6.862462462463494,0.6994223439743473,0.0011190208228858741
1,1,clustered,0,1.2,0.001,1,100.0,True,51,0.51,6.34174174174265,0.6354312442384804,0.001167769904609199
1,1,clustered,0,1.4,0.001,1,100.0,True,146,1.46,5.932732732733545,0.820224012101854,0.004203216926948921
1,1,clustered,0,1.6,0.001,1,100.0,True,183,1.83,5.6042042042049385,0.7036106808407533,0.004286768438818457
1,1,clustered,0,1.8,0.001,1,100.0,True,185,1.85,5.330330330331,0.5184136201460666,0.004381044252260073
1,1,clustered,0,2.0,0.001,1,100.0,True,180,1.8,5.09609609609671,0.3787587937620184,0.004476200233589302
1,1,clustered,0,2.2,0.001,1,100.0,True,190,1.9,4.897297297297865,0.31148554541327206,0.004573252108004
1,1,clustered,0,2.4,0.001,1,100.0,True,206,2.06,4.721921921922448,0.9205237326321312,0.004669076329594976
1,1,clustered,0,2.6,0.001,1,100.0,True,511,5.11,4.565765765766255,0.9094025434793777,0.016636291901031892
1,1,clustered,0,0.6,0.005,1,100.0,True,952,9.52,8.179579579580922,0.1838450403184862,0.007037482581458411
1,1,clustered,0,0.8,0.005,1,100.0,True,935,9.35,7.2672672672683944,0.19010332134273558,0.016019727613355544
1,1,clustered,0,1.0,0.005,1,100.0,True,1300,13.0,6.634834834835813,0.274139701186477,0.01617072891067337
1,1,clustered,0,1.2,0.005,1,100.0,True,5666,56.66,6.159759759760625,0.9550057984925846,0.04753976159386926
1,1,clustered,0,1.4,0.005,1,100.0,True,1407,14.07,5.7861861861869635,0.6879614719280137,0.06378340697264648
1,1,clustered,0,1.6,0.005,1,100.0,True,6407,64.07,5.479879879880585,0.11774659562516618,0.06407755869883555
1,1,clustered,0,1.8,0.005,1,100.0,True,2128,21.28,5.224624624625269,0.2742637838567938,0.06440081133379473
1,1,clustered,0,2.0,0.005,1,100.0,True,2437,24.37,5.0066066066072,0.7156422904303843,0.06467820359421922
1,1,clustered,0,2.2,0.005,1,100.0,True,6961,69.61,4.816816816817365,0.14604489438168639,0.06502645223348348
1,1,clustered,0,2.4,0.005,1,100.0,True,14204,142.04,4.650450450450959,1.0906543827152348,0.11246577540675441
1,1,clustered,0,2.6,0.005,1,100.0,True,13022,130.22,4.502102102102576,0.8580347085977579,0.1002493200598059
1,1,clustered,0,0.6,0.001,1,200.0,True,25,0.125,8.621621621623069,0.36436417967349505,0.000291869536534444
1,1,clustered,0,0.8,0.001,1,200.0,True,83,0.415,7.572972972974172,0.4290641432160054,0.0010716865012595604
1,1,clustered,0,1.0,0.001,1,200.0,True,92,0.46,6.862462462463494,0.3931460562232021,0.0011190208228858741
1,1,clustered,0,1.2,0.001,1,200.0,True,94,0.47,6.34174174174265,0.9994514965796222,0.001167769904609199
1,1,clustered,0,1.4,0.001,1,200.0,True,255,1.275,5.932732732733545,0.5288634991741277,0.004203216926948921
1,1,clustered,0,1.6,0.001,1,200.0,True,377,1.885,5.6042042042049385,0.010234700786220179,0.004286768438818457
1,1,clustered,0,1.8,0.001,1,200.0,True,379,1.895,5.330330330331,0.344562693639799,0.004381044252260073
1,1,clustered,0,2.0,0.001,1,200.0,True,372,1.86,5.09609609609671,0.5873626308278872,0.004476200233589302
1,1,clustered,0,2.2,0.001,1,200.0,True,381,1.905,4.897297297297865,0.25466384448566004,0.004573252108004
1,1,clustered,0,2.4,0.001,1,200.0,True,436,2.18,4.721921921922448,0.8987386730220821,0.004669076329594976
1,1,clustered,0,2.6,0.001,1,200.0,True,906,4.53,4.565765765766255,0.9653448867606922,0.016636291901031892
1,1,clustered,0,0.6,0.005,1,200.0,True,2072,10.36,8.179579579580922,0.09578238831864702,0.007037482581458411
1,1,clustered,0,0.8,0.005,1,200.0,True,1923,9.615,7.2672672672683944,0.9127562077076468,0.016019727613355544
1,1,clustered,0,1.0,0.005,1,200.0,True,3640,18.2,6.634834834835813,0.7573343502269969,0.01617072891067337
1,1,clustered,0,1.2,0.005,1,200.0,True,13200,66.0,6.159759759760625,0.7433618157952875,0.04753976159386926
1,1,clustered,0,1.4,0.005,1,200.0,True,1986,9.93,5.7861861861869635,0.8910462999487072,0.06378340697264648
1,1,clustered,0,1.6,0.005,1,200.0,True,16116,80.58,5.479879879880585,0.4793901032990999,0.06407755869883555
1,1,clustered,0,1.8,0.005,1,200.0,True,4490,22.45,5.224624624625269,0.5375092652466921,0.06440081133379473
1,1,clustered,0,2.0,0.005,1,200.0,True,4754,23.77,5.0066066066072,0.649250103069378,0.06467820359421922
1,1,clustered,0,2.2,0.005,1,200.0,True,16461,82.305,4.816816816817365,0.7204681679054543,0.06502645223348348
1,1,clustered,0,2.4,0.005,1,200.0,True,30854,154.27,4.650450450450959,1.088617807871348,0.11246577540675441
1,1,clustered,0,2.6,0.005,1,200.0,True,28159,140.795,4.502102102102576,0.19352257072746576,0.1002493200598059
1,1,clustered,0,0.6,0.001,1,500.0,True,68,0.136,8.621621621623069,0.9180821136341215,0.000291869536534444
1,1,clustered,0,0.8,0.001,1,500.0,True,169,0.338,7.572972972974172,0.49011605624500926,0.0010716865012595604
1,1,clustered,0,1.0,0.001,1,500.0,True,391,0.782,6.862462462463494,0.42307549479368095,0.0011190208228858741
1,1,clustered,0,1.2,0.001,1,500.0,True,273,0.546,6.34174174174265,0.3925133427088568,0.001167769904609199
1,1,clustered,0,1.4,0.001,1,500.0,True,596,1.192,5.932732732733545,0.0720790242766952,0.004203216926948921
1,1,clustered,0,1.6,0.001,1,500.0,True,1321,2.642,5.6042042042049385,0.8448493516480957,0.004286768438818457
1,1,clustered,0,1.8,0.001,1,500.0,True,807,1.614,5.330330330331,0.8530371544716708,0.004381044252260073
1,1,clustered,0,2.0,0.001,1,500.0,True,810,1.62,5.09609609609671,0.6664854115074705,0.004476200233589302
1,1,clustered,0,2.2,0.001,1,500.0,True,810,1.62,4.897297297297865,0.40744258154619883,0.004573252108004
1,1,clustered,0,2.4,0.001,1,500.0,True,1731,3.462,4.721921921922448,0.04284596204519034,0.004669076329594976
1,1,clustered,0,2.6,0.001,1,500.0,True,2349,4.698,4.565765765766255,0.7532108584204478,0.016636291901031892
1,1,clustered,0,0.6,0.005,1,500.0,True,5430,10.86,8.179579579580922,0.5656246609157984,0.007037482581458411
1,1,clustered,0,0.8,0.005,1,500.0,True,4889,9.778,7.2672672672683944,0.39683444650323546,0.016019727613355544
1,1,clustered,0,1.0,0.005,1,500.0,True,11012,22.024,6.634834834835813,0.5090177696388405,0.01617072891067337
1,1,clustered,0,1.2,0.005,1,500.0,True,35905,71.81,6.159759759760625,0.2776492999957966,0.04753976159386926
1,1,clustered,0,1.4,0.005,1,500.0,True,3836,7.672,5.7861861861869635,0.7785930659797217,0.06378340697264648
1,1,clustered,0,1.6,0.005,1,500.0,True,45498,90.996,5.479879879880585,0.8410997247552728,0.06407755869883555
1,1,clustered,0,1.8,0.005,1,500.0,True,11886,23.772,5.224624624625269,1.0126802532283874,0.06440081133379473
1,1,clustered,0,2.0,0.005,1,500.0,True,12151,24.302,5.0066066066072,0.23947764922668027,0.06467820359421922
1,1,clustered,0,2.2,0.005,1,500.0,True,45843,91.686,4.816816816817365,0.7877776916320618,0.06502645223348348
1,1,clustered,0,2.4,0.005,1,500.0,True,80804,161.608,4.650450450450959,1.0907956907102414,0.11246577540675441
1,1,clustered,0,2.6,0.005,1,500.0,True,73568,147.136,4.502102102102576,0.28893915430322903,0.1002493200598059
1,1,clustered,1,0.6,0.001,1,100.0,True,12,0.12,8.621621621623069,0.8395000344834065,0.000291869536534444
1,1,clustered,1,0.8,0.001,1,100.0,True,43,0.43,7.572972972974172,0.4275973124189061,0.0010716865012595604
1,1,clustered,1,1.0,0.001,1,100.0,True,44,0.44,6.862462462463494,0.6994223439743473,0.0011190208228858741
1,1,clustered,1,1.2,0.001,1,100.0,True,51,0.51,6.34174174174265,0.6354312442384804,0.001167769904609199
1,1,clustered,1,1.4,0.001,1,100.0,True,146,1.46,5.932732732733545,0.820224012101854,0.004203216926948921
1,1,clustered,1,1.6,0.001,1,100.0,True,183,1.83,5.6042042042049385,0.7036106808407533,0.004286768438818457
1,1,clustered,1,1.8,0.001,1,100.0,True,185,1.85,5.330330330331,0.5184136201460666,0.004381044252260073
1,1,clustered,1,2.0,0.001,1,100.0,True,180,1.8,5.09609609609671,0.3787587937620184,0.004476200233589302
1,1,clustered,1,2.2,0.001,1,100.0,True,190,1.9,4.897297297297865,0.31148554541327206,0.004573252108004
1,1,clustered,1,2.4,0.001,1,100.0,True,206,2.06,4.721921921922448,0.9205237326321312,0.004669076329594976
1,1,clustered,1,2.6,0.001,1,100.0,True,511,5.11,4.565765765766255,0.9094025434793777,0.016636291901031892
1,1,clustered,1,0.6,0.005,1,100.0,True,952,9.52,8.179579579580922,0.1838450403184862,0.007037482581458411
1,1,clustered,1,0.8,0.005,1,100.0,True,935,9.35,7.2672672672683944,0.19010332134273558,0.016019727613355544
1,1,clustered,1,1.0,0.005,1,100.0,True,1300,13.0,6.634834834835813,0.274139701186477,0.01617072891067337
1,1,clustered,1,1.2,0.005,1,100.0,True,5666,56.66,6.159759759760625,0.9550057984925846,0.04753976159386926
1,1,clustered,1,1.4,0.005,1,100.0,True,1407,14.07,5.7861861861869635,0.6879614719280137,0.06378340697264648
1,1,clustered,1,1.6,0.005,1,100.0,True,6407,64.07,5.479879879880585,0.11774659562516618,0.06407755869883555
1,1,clustered,1,1.8,0.005,1,100.0,True,2128,21.28,5.224624624625269,0.2742637838567938,0.06440081133379473
1,1,clustered,1,2.0,0.005,1,100.0,True,2437,24.37,5.0066066066072,0.7156422904303843,0.06467820359421922
1,1,clustered,1,2.2,0.005,1,100.0,True,6961,69.61,4.816816816817365,0.14604489438168639,0.06502645223348348
1,1,clustered,1,2.4,0.005,1,100.0,True,14204,142.04,4.650450450450959,1.0906543827152348,0.11246577540675441
1,1,clustered,1,2.6,0.005,1,100.0,True,13022,130.22,4.502102102102576,0.8580347085977579,0.1002493200598059
1,1,clustered,1,0.6,0.001,1,200.0,True,25,0.125,8.621621621623069,0.36436417967349505,0.000291869536534444
1,1,clustered,1,0.8,0.001,1,200.0,True,83,0.415,7.572972972974172,0.4290641432160054,0.0010716865012595604
1,1,clustered,1,1.0,0.001,1,200.0,True,92,0.46,6.862462462463494,0.3931460562232021,0.0011190208228858741
1,1,clustered,1,1.2,0.001,1,200.0,True,94,0.47,6.34174174174265,0.9994514965796222,0.001167769904609199
1,1,clustered,1,1.4,0.001,1,200.0,True,255,1.275,5.932732732733545,0.5288634991741277,0.004203216926948921
1,1,clustered,1,1.6,0.001,1,200.0,True,377,1.885,5.6042042042049385,0.010234700786220179,0.004286768438818457
1,1,clustered,1,1.8,0.001,1,200.0,True,379,1.895,5.330330330331,0.344562693639799,0.004381044252260073
1,1,clustered,1,2.0,0.001,1,200.0,True,372,1.86,5.09609609609671,0.5873626308278872,0.004476200233589302
1,1,clustered,1,2.2,0.001,1,200.0,True,381,1.905,4.897297297297865,0.25466384448566004,0.004573252108004
1,1,clustered,1,2.4,0.001,1,200.0,True,436,2.18,4.721921921922448,0.8987386730220821,0.004669076329594976
1,1,clustered,1,2.6,0.001,1,200.0,True,906,4.53,4.565765765766255,0.9653448867606922,0.016636291901031892
1,1,clustered,1,0.6,0.005,1,200.0,True,2072,10.36,8.179579579580922,0.09578238831864702,0.007037482581458411
1,1,clustered,1,0.8,0.005,1,200.0,True,1923,9.615,7.2672672672683944,0.9127562077076468,0.016019727613355544
1,1,clustered,1,1.0,0.005,1,200.0,True,3640,18.2,6.634834834835813,0.7573343502269969,0.01617072891067337
