dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
2,1,symmetric,0,0.6,0.005,1,500.0,False,0,0.0,,0.0,9.271261122392644e-12
2,1,symmetric,0,0.8,0.005,1,500.0,False,0,0.0,,0.0,1.6482241995364612e-11
2,1,symmetric,0,1.0,0.005,1,500.0,False,0,0.0,,0.0,2.575350311775715e-11
2,1,symmetric,0,1.2,0.005,1,500.0,False,0,0.0,,0.0,3.7085044489570574e-11
2,1,symmetric,0,1.4,0.005,1,500.0,False,0,0.0,,0.0,5.0476866110804226e-11
2,1,symmetric,0,1.6,0.005,1,500.0,False,0,0.0,,0.0,6.592896798145845e-11
2,1,symmetric,0,1.8,0.005,1,500.0,False,0,0.0,,0.0,8.344135010153377e-11
2,1,symmetric,0,2.0,0.005,1,500.0,False,0,0.0,,0.0,1.030140124710286e-10
2,1,symmetric,0,2.2,0.005,1,500.0,False,0,0.0,,0.0,1.246469550899446e-10
2,1,symmetric,0,2.4,0.005,1,500.0,False,0,0.0,,0.0,1.483401779582823e-10
2,1,symmetric,0,2.6,0.005,1,500.0,False,0,0.0,,0.0,1.7409368107603973e-10
2,1,symmetric,1,0.6,0.001,1,100.0,False,0,0.0,,0.0,8.63300097729306e-11
2,1,symmetric,1,0.8,0.001,1,100.0,False,0,0.0,,0.0,1.5347557292964802e-10
2,1,symmetric,1,1.0,0.001,1,100.0,False,0,0.0,,0.0,2.398055827025906e-10
2,1,symmetric,1,1.2,0.001,1,100.0,False,0,0.0,,0.0,3.453200390917224e-10
2,1,symmetric,1,1.4,0.001,1,100.0,False,0,0.0,,0.0,4.70018942097063e-10
2,1,symmetric,1,1.6,0.001,1,100.0,False,0,0.0,,0.0,6.139022917185921e-10
2,1,symmetric,1,1.8,0.001,1,100.0,False,0,0.0,,0.0,7.769700879563366e-10
2,1,symmetric,1,2.0,0.001,1,100.0,False,0,0.0,,0.0,9.592223308103623e-10
2,1,symmetric,1,2.2,0.001,1,100.0,False,0,0.0,,0.0,1.1606590202805093e-09
2,1,symmetric,1,2.4,0.001,1,100.0,False,0,0.0,,0.0,1.3812801563668897e-09
2,1,symmetric,1,2.6,0.001,1,100.0,False,0,0.0,,0.0,1.6210857390694399e-09
2,1,symmetric,1,0.6,0.005,1,100.0,False,0,0.0,,0.0,9.271261122392644e-12
2,1,symmetric,1,0.8,0.005,1,100.0,False,0,0.0,,0.0,1.6482241995364612e-11
2,1,symmetric,1,1.0,0.005,1,100.0,False,0,0.0,,0.0,2.575350311775715e-11
2,1,symmetric,1,1.2,0.005,1,100.0,False,0,0.0,,0.0,3.7085044489570574e-11
2,1,symmetric,1,1.4,0.005,1,100.0,False,0,0.0,,0.0,5.0476866110804226e-11
2,1,symmetric,1,1.6,0.005,1,100.0,False,0,0.0,,0.0,6.592896798145845e-11
2,1,symmetric,1,1.8,0.005,1,100.0,False,0,0.0,,0.0,8.344135010153377e-11
2,1,symmetric,1,2.0,0.005,1,100.0,False,0,0.0,,0.0,1.030140124710286e-10
2,1,symmetric,1,2.2,0.005,1,100.0,False,0,0.0,,0.0,1.246469550899446e-10
2,1,symmetric,1,2.4,0.005,1,100.0,False,0,0.0,,0.0,1.483401779582823e-10
2,1,symmetric,1,2.6,0.005,1,100.0,False,0,0.0,,0.0,1.7409368107603973e-10
2,1,symmetric,1,0.6,0.001,1,200.0,False,0,0.0,,0.0,8.63300097729306e-11
2,1,symmetric,1,0.8,0.001,1,200.0,False,0,0.0,,0.0,1.5347557292964802e-10
2,1,symmetric,1,1.0,0.001,1,200.0,False,0,0.0,,0.0,2.398055827025906e-10
2,1,symmetric,1,1.2,0.001,1,200.0,False,0,0.0,,0.0,3.453200390917224e-10
2,1,symmetric,1,1.4,0.001,1,200.0,False,0,0.0,,0.0,4.70018942097063e-10
2,1,symmetric,1,1.6,0.001,1,200.0,False,0,0.0,,0.0,6.139022917185921e-10
2,1,symmetric,1,1.8,0.001,1,200.0,False,0,0.0,,0.0,7.769700879563366e-10
2,1,symmetric,1,2.0,0.001,1,200.0,False,0,0.0,,0.0,9.592223308103623e-10
2,1,symmetric,1,2.2,0.001,1,200.0,False,0,0.0,,0.0,1.1606590202805093e-09
2,1,symmetric,1,2.4,0.001,1,200.0,False,0,0.0,,0.0,1.3812801563668897e-09
2,1,symmetric,1,2.6,0.001,1,200.0,False,0,0.0,,0.0,1.6210857390694399e-09
2,1,symmetric,1,0.6,0.005,1,200.0,False,0,0.0,,0.0,9.271261122392644e-12
2,1,symmetric,1,0.8,0.005,1,200.0,False,0,0.0,,0.0,1.6482241995364612e-11
2,1,symmetric,1,1.0,0.005,1,200.0,False,0,0.0,,0.0,2.575350311775715e-11
2,1,symmetric,1,1.2,0.005,1,200.0,False,0,0.0,,0.0,3.7085044489570574e-11
2,1,symmetric,1,1.4,0.005,1,200.0,False,0,0.0,,0.0,5.0476866110804226e-11
2,1,symmetric,1,1.6,0.005,1,200.0,False,0,0.0,,0.0,6.592896798145845e-11
2,1,symmetric,1,1.8,0.005,1,200.0,False,0,0.0,,0.0,8.344135010153377e-11
2,1,symmetric,1,2.0,0.005,1,200.0,False,0,0.0,,0.0,1.030140124710286e-10
2,1,symmetric,1,2.2,0.005,1,200.0,False,0,0.0,,0.0,1.246469550899446e-10
2,1,symmetric,1,2.4,0.005,1,200.0,False,0,0.0,,0.0,1.483401779582823e-10
2,1,symmetric,1,2.6,0.005,1,200.0,False,0,0.0,,0.0,1.7409368107603973e-10
2,1,symmetric,1,0.6,0.001,1,500.0,False,0,0.0,,0.0,8.63300097729306e-11
2,1,symmetric,1,0.8,0.001,1,500.0,False,0,0.0,,0.0,1.5347557292964802e-10
2,1,symmetric,1,1.0,0.001,1,500.0,False,0,0.0,,0.0,2.398055827025906e-10
2,1,symmetric,1,1.2,0.001,1,500.0,False,0,0.0,,0.0,3.453200390917224e-10
2,1,symmetric,1,1.4,0.001,1,500.0,False,0,0.0,,0.0,4.70018942097063e-10
2,1,symmetric,1,1.6,0.001,1,500.0,False,0,0.0,,0.0,6.139022917185921e-10
2,1,symmetric,1,1.8,0.001,1,500.0,False,0,0.0,,0.0,7.769700879563366e-10
2,1,symmetric,1,2.0,0.001,1,500.0,False,0,0.0,,0.0,9.592223308103623e-10
2,1,symmetric,1,2.2,0.001,1,500.0,False,0,0.0,,0.0,1.1606590202805093e-09
2,1,symmetric,1,2.4,0.001,1,500.0,False,0,0.0,,0.0,1.3812801563668897e-09
2,1,symmetric,1,2.6,0.001,1,500.0,False,0,0.0,,0.0,1.6210857390694399e-09
2,1,symmetric,1,0.6,0.005,1,500.0,False,0,0.0,,0.0,9.271261122392644e-12
2,1,symmetric,1,0.8,0.005,1,500.0,False,0,0.0,,0.0,1.6482241995364612e-11
2,1,symmetric,1,1.0,0.005,1,500.0,False,0,0.0,,0.0,2.575350311775715e-11
2,1,symmetric,1,1.2,0.005,1,500.0,False,0,0.0,,0.0,3.7085044489570574e-11
2,1,symmetric,1,1.4,0.005,1,500.0,False,0,0.0,,0.0,5.0476866110804226e-11
2,1,symmetric,1,1.6,0.005,1,500.0,False,0,0.0,,0.0,6.592896798145845e-11
2,1,symmetric,1,1.8,0.005,1,500.0,False,0,0.0,,0.0,8.344135010153377e-11
2,1,symmetric,1,2.0,0.005,1,500.0,False,0,0.0,,0.0,1.030140124710286e-10
2,1,symmetric,1,2.2,0.005,1,500.0,False,0,0.0,,0.0,1.246469550899446e-10
2,1,symmetric,1,2.4,0.005,1,500.0,False,0,0.0,,0.0,1.483401779582823e-10
2,1,symmetric,1,2.6,0.005,1,500.0,False,0,0.0,,0.0,1.7409368107603973e-10
2,1,clustered,0,0.6,0.001,1,100.0,False,0,0.0,,0.0,8.63300097729306e-11
2,1,clustered,0,0.8,0.001,1,100.0,False,0,0.0,,0.0,1.5347557292964802e-10
2,1,clustered,0,1.0,0.001,1,100.0,False,0,0.0,,0.0,2.398055827025906e-10
2,1,clustered,0,1.2,0.001,1,100.0,False,0,0.0,,0.0,3.453200390917224e-10
2,1,clustered,0,1.4,0.001,1,100.0,False,0,0.0,,0.0,4.70018942097063e-10
2,1,clustered,0,1.6,0.001,1,100.0,False,0,0.0,,0.0,6.139022917185921e-10
2,1,clustered,0,1.8,0.001,1,100.0,False,0,0.0,,0.0,7.769700879563366e-10
2,1,clustered,0,2.0,0.001,1,100.0,False,0,0.0,,0.0,9.592223308103623e-10
2,1,clustered,0,2.2,0.001,1,100.0,False,0,0.0,,0.0,1.1606590202805093e-09
2,1,clustered,0,2.4,0.001,1,100.0,False,0,0.0,,0.0,1.3812801563668897e-09
2,1,clustered,0,2.6,0.001,1,100.0,False,0,0.0,,0.0,1.6210857390694399e-09
2,1,clustered,0,0.6,0.005,1,100.0,False,0,0.0,,0.0,9.271261122392644e-12
2,1,clustered,0,0.8,0.005,1,100.0,False,0,0.0,,0.0,1.6482241995364612e-11
2,1,clustered,0,1.0,0.005,1,100.0,False,0,0.0,,0.0,2.575350311775715e-11
2,1,clustered,0,1.2,0.005,1,100.0,False,0,0.0,,0.0,3.7085044489570574e-11
2,1,clustered,0,1.4,0.005,1,100.0,False,0,0.0,,0.0,5.0476866110804226e-11
2,1,clustered,0,1.6,0.005,1,100.0,False,0,0.0,,0.0,6.592896798145845e-11
2,1,clustered,0,1.8,0.005,1,100.0,False,0,0.0,,0.0,8.344135010153377e-11
2,1,clustered,0,2.0,0.005,1,100.0,False,0,0.0,,0.0,1.030140124710286e-10
2,1,clustered,0,2.2,0.005,1,100.0,False,0,0.0,,0.0,1.246469550899446e-10
2,1,clustered,0,2.4,0.005,1,100.0,False,0,0.0,,0.0,1.483401779582823e-10
2,1,clustered,0,2.6,0.005,1,100.0,False,0,0.0,,0.0,1.7409368107603973e-10
2,1,clustered,0,0.6,0.001,1,200.0,False,0,0.0,,0.0,8.63300097729306e-11
2,1,clustered,0,0.8,0.001,1,200.0,False,0,0.0,,0.0,1.5347557292964802e-10
2,1,clustered,0,1.0,0.001,1,200.0,False,0,0.0,,0.0,2.398055827025906e-10
2,1,clustered,0,1.2,0.001,1,200.0,False,0,0.0,,0.0,3.453200390917224e-10
2,1,clustered,0,1.4,0.001,1,200.0,False,0,0.0,,0.0,4.70018942097063e-10
2,1,clustered,0,1.6,0.001,1,200.0,False,0,0.0,,0.0,6.139022917185921e-10
2,1,clustered,0,1.8,0.001,1,200.0,False,0,0.0,,0.0,7.769700879563366e-10
2,1,clustered,0,2.0,0.001,1,200.0,False,0,0.0,,0.0,9.592223308103623e-10
2,1,clustered,0,2.2,0.001,1,200.0,False,0,0.0,,0.0,1.1606590202805093e-09
2,1,clustered,0,2.4,0.001,1,200.0,False,0,0.0,,0.0,1.3812801563668897e-09
2,1,clustered,0,2.6,0.001,1,200.0,False,0,0.0,,0.0,1.6210857390694399e-09
2,1,clustered,0,0.6,0.005,1,200.0,False,0,0.0,,0.0,9.271261122392644e-12
2,1,clustered,0,0.8,0.005,1,200.0,False,0,0.0,,0.0,1.6482241995364612e-11
2,1,clustered,0,1.0,0.005,1,200.0,False,0,0.0,,0.0,2.575350311775715e-11
2,1,clustered,0,1.2,0.005,1,200.0,False,0,0.0,,0.0,3.7085044489570574e-11
2,1,clustered,0,1.4,0.005,1,200.0,False,0,0.0,,0.0,5.0476866110804226e-11
2,1,clustered,0,1.6,0.005,1,200.0,False,0,0.0,,0.0,6.592896798145845e-11
2,1,clustered,0,1.8,0.005,1,200.0,False,0,0.0,,0.0,8.344135010153377e-11
2,1,clustered,0,2.0,0.005,1,200.0,False,0,0.0,,0.0,1.030140124710286e-10
2,1,clustered,0,2.2,0.005,1,200.0,False,0,0.0,,0.0,1.246469550899446e-10
2,1,clustered,0,2.4,0.005,1,200.0,False,0,0.0,,0.0,1.483401779582823e-10
2,1,clustered,0,2.6,0.005,1,200.0,False,0,0.0,,0.0,1.7409368107603973e-10
2,1,clustered,0,0.6,0.001,1,500.0,False,0,0.0,,0.0,8.63300097729306e-11
2,1,clustered,0,0.8,0.001,1,500.0,False,0,0.0,,0.0,1.5347557292964802e-10
2,1,clustered,0,1.0,0.001,1,500.0,False,0,0.0,,0.0,2.398055827025906e-10
2,1,clustered,0,1.2,0.001,1,500.0,False,0,0.0,,0.0,3.453200390917224e-10
2,1,clustered,0,1.4,0.001,1,500.0,False,0,0.0,,0.0,4.70018942097063e-10
2,1,clustered,0,1.6,0.001,1,500.0,False,0,0.0,,0.0,6.139022917185921e-10
2,1,clustered,0,1.8,0.001,1,500.0,False,0,0.0,,0.0,7.769700879563366e-10
2,1,clustered,0,2.0,0.001,1,500.0,False,0,0.0,,0.0,9.592223308103623e-10
2,1,clustered,0,2.2,0.001,1,500.0,False,0,0.0,,0.0,1.1606590202805093e-09
2,1,clustered,0,2.4,0.001,1,500.0,False,0,0.0,,0.0,1.3812801563668897e-09
2,1,clustered,0,2.6,0.001,1,500.0,False,0,0.0,,0.0,1.6210857390694399e-09
2,1,clustered,0,0.6,0.005,1,500.0,False,0,0.0,,0.0,9.271261122392644e-12
2,1,clustered,0,0.8,0.005,1,500.0,False,0,0.0,,0.0,1.6482241995364612e-11
2,1,clustered,0,1.0,0.005,1,500.0,False,0,0.0,,0.0,2.575350311775715e-11
2,1,clustered,0,1.2,0.005,1,500.0,False,0,0.0,,0.0,3.7085044489570574e-11
2,1,clustered,0,1.4,0.005,1,500.0,False,0,0.0,,0.0,5.0476866110804226e-11
2,1,clustered,0,1.6,0.005,1,500.0,False,0,0.0,,0.0,6.592896798145845e-11
2,1,clustered,0,1.8,0.005,1,500.0,False,0,0.0,,0.0,8.344135010153377e-11
2,1,clustered,0,2.0,0.005,1,500.0,False,0,0.0,,0.0,1.030140124710286e-10
2,1,clustered,0,2.2,0.005,1,500.0,False,0,0.0,,0.0,1.246469550899446e-10
2,1,clustered,0,2.4,0.005,1,500.0,False,0,0.0,,0.0,1.483401779582823e-10
2,1,clustered,0,2.6,0.005,1,500.0,False,0,0.0,,0.0,1.7409368107603973e-10
2,1,clustered,1,0.6,0.001,1,100.0,False,0,0.0,,0.0,8.63300097729306e-11
2,1,clustered,1,0.8,0.001,1,100.0,False,0,0.0,,0.0,1.5347557292964802e-10
2,1,clustered,1,1.0,0.001,1,100.0,False,0,0.0,,0.0,2.398055827025906e-10
2,1,clustered,1,1.2,0.001,1,100.0,False,0,0.0,,0.0,3.453200390917224e-10
2,1,clustered,1,1.4,0.001,1,100.0,False,0,0.0,,0.0,4.70018942097063e-10
2,1,clustered,1,1.6,0.001,1,100.0,False,0,0.0,,0.0,6.139022917185921e-10
2,1,clustered,1,1.8,0.001,1,100.0,False,0,0.0,,0.0,7.769700879563366e-10
2,1,clustered,1,2.0,0.001,1,100.0,False,0,0.0,,0.0,9.592223308103623e-10
2,1,clustered,1,2.2,0.001,1,100.0,False,0,0.0,,0.0,1.1606590202805093e-09
2,1,clustered,1,2.4,0.001,1,100.0,False,0,0.0,,0.0,1.3812801563668897e-09
2,1,clustered,1,2.6,0.001,1,100.0,False,0,0.0,,0.0,1.6210857390694399e-09
2,1,clustered,1,0.6,0.005,1,100.0,False,0,0.0,,0.0,9.271261122392644e-12
2,1,clustered,1,0.8,0.005,1,100.0,False,0,0.0,,0.0,1.6482241995364612e-11
2,1,clustered,1,1.0,0.005,1,100.0,False,0,0.0,,0.0,2.575350311775715e-11
2,1,clustered,1,1.2,0.005,1,100.0,False,0,0.0,,0.0,3.7085044489570574e-11
2,1,clustered,1,1.4,0.005,1,100.0,False,0,0.0,,0.0,5.0476866110804226e-11
2,1,clustered,1,1.6,0.005,1,100.0,False,0,0.0,,0.0,6.592896798145845e-11
2,1,clustered,1,1.8,0.005,1,100.0,False,0,0.0,,0.0,8.344135010153377e-11
2,1,clustered,1,2.0,0.005,1,100.0,False,0,0.0,,0.0,1.030140124710286e-10
2,1,clustered,1,2.2,0.005,1,100.0,False,0,0.0,,0.0,1.246469550899446e-10
2,1,clustered,1,2.4,0.005,1,100.0,False,0,0.0,,0.0,1.483401779582823e-10
2,1,clustered,1,2.6,0.005,1,100.0,False,0,0.0,,0.0,1.7409368107603973e-10
2,1,clustered,1,0.6,0.001,1,200.0,False,0,0.0,,0.0,8.63300097729306e-11
2,1,clustered,1,0.8,0.001,1,200.0,False,0,0.0,,0.0,1.5347557292964802e-10
2,1,clustered,1,1.0,0.001,1,200.0,False,0,0.0,,0.0,2.398055827025906e-10
2,1,clustered,1,1.2,0.001,1,200.0,False,0,0.0,,0.0,3.453200390917224e-10
2,1,clustered,1,1.4,0.001,1,200.0,False,0,0.0,,0.0,4.70018942097063e-10
2,1,clustered,1,1.6,0.001,1,200.0,False,0,0.0,,0.0,6.139022917185921e-10
2,1,clustered,1,1.8,0.001,1,200.0,False,0,0.0,,0.0,7.769700879563366e-10
2,1,clustered,1,2.0,0.001,1,200.0,False,0,0.0,,0.0,9.592223308103623e-10
2,1,clustered,1,2.2,0.001,1,200.0,False,0,0.0,,0.0,1.1606590202805093e-09
2,1,clustered,1,2.4,0.001,1,200.0,False,0,0.0,,0.0,1.3812801563668897e-09
2,1,clustered,1,2.6,0.001,1,200.0,False,0,0.0,,0.0,1.6210857390694399e-09
2,1,clustered,1,0.6,0.005,1,200.0,False,0,0.0,,0.0,9.271261122392644e-12
2,1,clustered,1,0.8,0.005,1,200.0,False,0,0.0,,0.0,1.6482241995364612e-11
2,1,clustered,1,1.0,0.005,1,200.0,False,0,0.0,,0.0,2.575350311775715e-11
2,1,clustered,1,1.2,0.005,1,200.0,False,0,0.0,,0.0,3.7085044489570574e-11
2,1,clustered,1,1.4,0.005,1,200.0,False,0,0.0,,0.0,5.0476866110804226e-11
2,1,clustered,1,1.6,0.005,1,200.0,False,0,0.0,,0.0,6.592896798145845e-11
2,1,clustered,1,1.8,0.005,1,200.0,False,0,0.0,,0.0,8.344135010153377e-11
2,1,clustered,1,2.0,0.005,1,200.0,False,0,0.0,,0.0,1.030140124710286e-10
2,1,clustered,1,2.2,0.005,1,200.0,False,0,0.0,,0.0,1.246469550899446e-10
2,1,clustered,1,2.4,0.005,1,200.0,False,0,0.0,,0.0,1.483401779582823e-10
2,1,clustered,1,2.6,0.005,1,200.0,False,0,0.0,,0.0,1.7409368107603973e-10
2,1,clustered,1,0.6,0.001,1,500.0,False,0,0.0,,0.0,8.63300097729306e-11
2,1,clustered,1,0.8,0.001,1,500.0,False,0,0.0,,0.0,1.5347557292964802e-10
2,1,clustered,1,1.0,0.001,1,500.0,False,0,0.0,,0.0,2.398055827025906e-10
2,1,clustered,1,1.2,0.001,1,500.0,False,0,0.0,,0.0,3.453200390917224e-10
2,1,clustered,1,1.4,0.001,1,500.0,False,0,0.0,,0.0,4.70018942097063e-10
2,1,clustered,1,1.6,0.001,1,500.0,False,0,0.0,,0.0,6.139022917185921e-10
2,1,clustered,1,1.8,0.001,1,500.0,False,0,0.0,,0.0,7.769700879563366e-10
2,1,clustered,1,2.0,0.001,1,500.0,False,0,0.0,,0.0,9.592223308103623e-10
2,1,clustered,1,2.2,0.001,1,500.0,False,0,0.0,,0.0,1.1606590202805093e-09
2,1,clustered,1,2.4,0.001,1,500.0,False,0,0.0,,0.0,1.3812801563668897e-09
2,1,clustered,1,2.6,0.001,1,500.0,False,0,0.0,,0.0,1.6210857390694399e-09
2,1,clustered,1,0.6,0.005,1,500.0,False,0,0.0,,0.0,9.271261122392644e-12
2,1,clustered,1,0.8,0.005,1,500.0,False,0,0.0,,0.0,1.6482241995364612e-11
2,1,clustered,1,1.0,0.005,1,500.0,False,0,0.0,,0.0,2.575350311775715e-11
2,1,clustered,1,1.2,0.005,1,500.0,False,0,0.0,,0.0,3.7085044489570574e-11
2,1,clustered,1,1.4,0.005,1,500.0,False,0,0.0,,0.0,5.0476866110804226e-11
2,1,clustered,1,1.6,0.005,1,500.0,False,0,0.0,,0.0,6.592896798145845e-11
2,1,clustered,1,1.8,0.005,1,500.0,False,0,0.0,,0.0,8.344135010153377e-11
2,1,clustered,1,2.0,0.005,1,500.0,False,0,0.0,,0.0,1.030140124710286e-10
2,1,clustered,1,2.2,0.005,1,500.0,False,0,0.0,,0.0,1.246469550899446e-10
2,1,clustered,1,2.4,0.005,1,500.0,False,0,0.0,,0.0,1.483401779582823e-10
2,1,clustered,1,2.6,0.005,1,500.0,False,0,0.0,,0.0,1.7409368107603973e-10
